good,correlation,p_value,n,significant,is_output
ALUMINUM_ORE,-0.9539150098062702,1.7543653851192464e-31,59,True,False
DRUGS,-0.9522633318721694,1.547113385065953e-74,143,True,True
IRON_ORE,-0.9509133029846232,2.4091321308322237e-17,33,True,False
JEWELRY,-0.9497656768307653,5.6151300152888113e-70,137,True,True
PLATINUM,-0.9462049021561697,7.791101761371096e-79,159,True,False
FIREARMS,-0.9456817735120792,7.543193876879387e-63,127,True,True
ASSAULT_RIFLES,-0.941767158051313,1.9430643734596915e-62,130,True,True
MACHINERY,-0.9399979710610828,3.3389526490839774e-90,191,True,True
COPPER_ORE,-0.9380299463899291,3.2462266018086487e-17,36,True,False
SHIP_PLATING,-0.9341545200524592,2.2756451799593753e-83,184,True,False
SHIP_PARTS,-0.9286997554744876,1.023592029353686e-74,171,True,True
PLASTICS,-0.9167530297359945,7.538382384925017e-47,115,True,False
MICROPROCESSORS,-0.9142961773954872,1.2135579529231798e-40,101,True,True
AMMUNITION,-0.9084623253903151,6.607802209474012e-47,121,True,True
FABRICS,-0.8957415786184088,1.6113211715136729e-93,262,True,True
EXPLOSIVES,-0.8869264759576411,3.7124385895775993e-50,146,True,False
FUEL,-0.8849375770893319,1.341343119035975e-25,74,True,False
FOOD,-0.8811855050820755,5.18341423797898e-66,199,True,True
CLOTHING,-0.8805768367370952,1.1321256396978999e-84,257,True,True
HYDROCARBON,-0.8715623371419919,1.2841370174192376e-07,22,True,False
ADVANCED_CIRCUITRY,-0.8656230299274063,1.5747393167065901e-34,111,True,False
ELECTRONICS,-0.8506852653486409,1.4132422675496363e-74,262,True,True
LIQUID_HYDROGEN,-0.8457389507603627,7.082015007399111e-22,76,True,False
EQUIPMENT,-0.8435475328177874,9.684379200910309e-103,375,True,True
LIQUID_NITROGEN,-0.8403377466551113,3.966578299110763e-25,90,True,False
PRECIOUS_STONES,-0.8398742002691836,3.7863164831741794e-26,94,True,False
MEDICINE,-0.8292570825577432,8.340722088865881e-61,235,True,True
LAB_INSTRUMENTS,-0.8242689486713718,6.0088373417462e-14,52,True,False
FAB_MATS,-0.7784579910094307,3.962223985099101e-13,59,True,False
DIAMONDS,-0.7573818930387751,1.9428797115650509e-10,50,True,False
SILICON_CRYSTALS,-0.7358055307755469,2.3971925691963525e-06,31,True,False
MODULE_MICRO_REFINERY_I,-0.7268071185470196,0.00012748885807014153,22,True,False
POLYNUCLEOTIDES,-0.6824149556924787,2.4461851883412745e-48,343,True,False
FERTILIZERS,-0.6782578038119523,1.8221543144161405e-37,268,True,False
GOLD,-0.6496977608636391,5.939306752860723e-20,155,True,False
COPPER,-0.621246664593664,1.5873310597683471e-19,170,True,False
QUARTZ_SAND,-0.5322906474223772,0.02783814142208912,17,True,False
BIOCOMPOSITES,-0.5292733633573573,0.00010978152372628903,48,True,False
ALUMINUM,-0.528106892416513,1.0223461415138684e-19,255,True,False
IRON,-0.4834121942259214,4.189209912473179e-16,251,True,False
GOLD_ORE,-0.4342220673503464,0.01465674680770372,31,True,False
SILVER,-0.3219121500861361,1.2464906304943844e-05,177,True,False
AMMONIA_ICE,0.09377439177646779,0.3793330825031136,90,False,False
SILVER_ORE,,,20,False,False
PLATINUM_ORE,,,11,False,False
