waypoint_symbol,good_symbol,purchase_price,sell_price,supply,activity,trade_volume,recorded_at,supply_ordinal,activity_ordinal,prev_supply,prev_supply_ordinal,prev_time,supply_change,time_since_prev,change_type
X1-FB5-A1,CLOTHING,4794,9814,LIMITED,WEAK,20,2025-11-30 14:05:57.907653+00:00,2,1.0,,,,,,natural_drift
X1-FB5-A1,CLOTHING,4918,10016,SCARCE,WEAK,20,2025-11-30 16:15:18.241759+00:00,1,1.0,LIMITED,2.0,2025-11-30 15:55:59.769175+00:00,-1.0,19.3078764,natural_drift
X1-FB5-A1,CLOTHING,4774,9784,LIMITED,WEAK,20,2025-11-30 16:20:03.572430+00:00,2,1.0,SCARCE,1.0,2025-11-30 16:15:18.241759+00:00,1.0,4.755511183333334,manufacturing_driven
X1-FB5-A1,CLOTHING,4653,9588,MODERATE,WEAK,20,2025-11-30 17:01:05.014800+00:00,3,1.0,LIMITED,2.0,2025-11-30 16:42:01.465846+00:00,1.0,19.059149233333336,natural_drift
X1-FB5-A1,CLOTHING,4676,9624,LIMITED,WEAK,20,2025-11-30 17:20:06.435755+00:00,2,1.0,MODERATE,3.0,2025-11-30 17:01:05.014800+00:00,-1.0,19.023682583333333,natural_drift
X1-FB5-A1,CLOTHING,4918,10016,SCARCE,WEAK,20,2025-11-30 23:08:44.152575+00:00,1,1.0,LIMITED,2.0,2025-11-30 22:35:44.372668+00:00,-1.0,32.99633178333333,natural_drift
X1-FB5-A1,CLOTHING,4830,9874,LIMITED,WEAK,20,2025-12-01 03:14:51.701916+00:00,2,1.0,SCARCE,1.0,2025-12-01 03:02:08.471960+00:00,1.0,12.720499266666668,natural_drift
X1-FB5-A1,CLOTHING,4918,10016,SCARCE,WEAK,20,2025-12-01 05:20:11.790367+00:00,1,1.0,LIMITED,2.0,2025-12-01 04:56:57.599548+00:00,-1.0,23.23651365,natural_drift
X1-FB5-A1,CLOTHING,4902,9992,LIMITED,WEAK,20,2025-12-01 08:13:04.578651+00:00,2,1.0,SCARCE,1.0,2025-12-01 07:52:49.980960+00:00,1.0,20.243294849999998,natural_drift
X1-FB5-A1,CLOTHING,4918,10016,SCARCE,WEAK,20,2025-12-01 08:33:32.584235+00:00,1,1.0,LIMITED,2.0,2025-12-01 08:13:04.578651+00:00,-1.0,20.466759733333333,natural_drift
X1-FB5-A1,EQUIPMENT,3031,6290,MODERATE,WEAK,20,2025-11-30 14:07:11.542938+00:00,3,1.0,,,,,,natural_drift
X1-FB5-A1,EQUIPMENT,3097,6398,LIMITED,WEAK,20,2025-11-30 18:19:34.140667+00:00,2,1.0,MODERATE,3.0,2025-11-30 18:00:00.789450+00:00,-1.0,19.555853616666663,natural_drift
X1-FB5-A1,EQUIPMENT,3289,6710,SCARCE,WEAK,20,2025-12-01 00:08:58.478042+00:00,1,1.0,LIMITED,2.0,2025-11-30 23:08:44.160204+00:00,-1.0,60.23863063333333,natural_drift
X1-FB5-A1,FOOD,2112,4412,MODERATE,WEAK,60,2025-11-30 14:07:11.534602+00:00,3,1.0,,,,,,natural_drift
X1-FB5-A1,FOOD,2206,4562,LIMITED,WEAK,60,2025-11-30 17:39:07.932337+00:00,2,1.0,MODERATE,3.0,2025-11-30 17:20:06.432457+00:00,-1.0,19.024998,natural_drift
X1-FB5-A1,FOOD,2340,4782,SCARCE,WEAK,60,2025-11-30 21:45:38.970490+00:00,1,1.0,LIMITED,2.0,2025-11-30 21:28:12.484728+00:00,-1.0,17.441429366666668,natural_drift
X1-FB5-A1,JEWELRY,3341,6900,LIMITED,WEAK,20,2025-11-30 14:07:11.546796+00:00,2,1.0,,,,,,natural_drift
X1-FB5-A1,JEWELRY,3323,6870,MODERATE,WEAK,20,2025-11-30 17:39:07.945397+00:00,3,1.0,LIMITED,2.0,2025-11-30 17:20:06.447803+00:00,1.0,19.0249599,natural_drift
X1-FB5-A1,JEWELRY,3347,6910,LIMITED,WEAK,20,2025-11-30 18:00:00.806507+00:00,2,1.0,MODERATE,3.0,2025-11-30 17:39:07.945397+00:00,-1.0,20.8810185,natural_drift
X1-FB5-A1,JEWELRY,3297,6828,MODERATE,WEAK,20,2025-11-30 20:17:36.761174+00:00,3,1.0,LIMITED,2.0,2025-11-30 19:59:09.654588+00:00,1.0,18.451776433333336,natural_drift
X1-FB5-A1,JEWELRY,3335,6890,LIMITED,WEAK,20,2025-11-30 22:35:44.394464+00:00,2,1.0,MODERATE,3.0,2025-11-30 22:01:56.037458+00:00,-1.0,33.8059501,natural_drift
X1-FB5-A1,JEWELRY,3310,6850,MODERATE,WEAK,20,2025-12-01 01:29:07.178135+00:00,3,1.0,LIMITED,2.0,2025-12-01 01:20:56.181014+00:00,1.0,8.18328535,natural_drift
